Loan Status,Current Loan Amount,Term,Credit Score,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Charged Off,2942,Short Term,702,3,Rent,24513,HomeImprovements,158.11,6.4,NA,9,0,3131,11063,0,0
Charged Off,35028,Long Term,694,2,Rent,105084,DebtConsolidation,2653.37,15.4,NA,10,0,23949,47237,0,0
Charged Off,24440,Short Term,733,10,Mortgage,68432,DebtConsolidation,1893.29,19.8,79,18,0,13911,47970,0,0
Charged Off,14840,Long Term,720,10,Own Home,44519,DebtConsolidation,612.13,17.4,NA,5,1,8087,13659,1,0
Charged Off,14232,Short Term,716,10,Rent,39593,DebtConsolidation,805.05,24.3,NA,10,1,20279,29648,1,0
Charged Off,14838,Short Term,721,10,Mortgage,67992,DebtConsolidation,1592.14,12.9,NA,32,0,13016,62277,0,0
Charged Off,8600,Short Term,740,3,Mortgage,40889,DebtConsolidation,1144.88,17.8,NA,12,0,22735,29374,0,0
Charged Off,2148,Short Term,729,2,Own Home,24552,DebtConsolidation,83.07,11.7,NA,6,0,2343,6349,0,0
Charged Off,14825,Short Term,710,10,Rent,98830,DebtConsolidation,897.7,12.9,NA,10,0,12609,15921,0,0
Charged Off,17980,Short Term,632,5,Rent,91422,DebtConsolidation,1180.87,14.2,56,10,1,12663,19392,1,0
Charged Off,28437,Long Term,738,1,Mortgage,138265,DebtConsolidation,2062.45,19.4,17,15,0,27070,35713,0,0
Charged Off,19765,Long Term,637,10,Mortgage,54734,HomeImprovements,1318.19,13,NA,13,1,20610,27047,1,0
Charged Off,10589,Long Term,721,10,Mortgage,56133,DebtConsolidation,1118,14.6,NA,11,0,19926,47106,0,0
Charged Off,5534,Short Term,677,10,Mortgage,32614,Other,554.44,13,NA,4,0,3634,5732,0,0
Charged Off,12209,Short Term,746,9,Mortgage,35609,DebtConsolidation,267.66,19,49,8,0,11875,20545,0,0
Charged Off,8089,Short Term,683,10,Own Home,65722,MedicalBills,1873.06,36.3,29,12,0,24770,37588,0,0
Charged Off,11897,Short Term,742,10,Rent,49570,DebtConsolidation,706.37,17.2,NA,9,0,15570,26753,0,0
Charged Off,3543,Short Term,698,1,Rent,30369,Other,480.84,8.4,39,7,0,4204,8597,0,0
Charged Off,8995,Short Term,661,10,Mortgage,236858,DebtConsolidation,2309.36,17.7,59,12,1,22340,22497,0,0
Charged Off,35704,Long Term,695,10,Mortgage,96910,DebtConsolidation,2350.06,18.1,NA,20,0,26903,46951,0,0
Charged Off,9825,Long Term,654,5,Rent,37335,DebtConsolidation,681.36,19.9,NA,8,1,12652,17794,1,0
Charged Off,29295,Short Term,661,6,Rent,171028,DebtConsolidation,2223.36,8.9,NA,14,0,20970,49692,0,0
Charged Off,9935,Short Term,725,10,Mortgage,79480,DebtConsolidation,2179.07,31.9,NA,12,1,11143,20187,1,0
Charged Off,15731,Short Term,715,0.5,Mortgage,35957,HomeImprovements,976.83,26.1,24,10,0,5247,69956,0,0
Charged Off,10137,Long Term,650,1,Rent,40548,DebtConsolidation,783.92,6.8,NA,6,0,348,4347,0,0
Charged Off,17986,Long Term,729,10,Rent,79936,DebtConsolidation,1065.82,20.1,NA,31,1,8215,33532,1,0
Charged Off,13810,Short Term,740,10,Mortgage,73980,DebtConsolidation,1387.13,24.2,54,10,0,1466,8884,0,0
Charged Off,33805,Long Term,692,5,Rent,94573,DebtConsolidation,1930.88,15.1,17,15,0,19729,43170,0,0
Charged Off,9759,Long Term,729,5,Mortgage,54654,DebtConsolidation,833.48,16.5,NA,8,0,10794,14240,0,0
Charged Off,34734,Long Term,662,8,Mortgage,92293,DebtConsolidation,1284.41,17,20,9,0,20104,29179,0,0
Charged Off,4042,Short Term,726,5,Rent,33350,DebtConsolidation,633.65,21.5,36,8,1,4552,9810,1,0
Charged Off,19672,Long Term,739,7,Mortgage,118854,DebtConsolidation,2634.58,17,NA,11,0,30434,55638,0,0
Charged Off,8043,Short Term,732,9,Rent,42227,DebtConsolidation,335.7,18.8,26,7,0,7113,15599,0,0
Charged Off,5093,Short Term,742,2,Rent,32592,DebtConsolidation,562.21,14.6,8,12,0,2308,7327,0,0
Charged Off,16589,Short Term,691,3,Rent,48790,DebtConsolidation,512.3,28.6,NA,8,0,15134,22554,0,0
Charged Off,9968,Short Term,737,2,Rent,64792,DebtConsolidation,1430.83,20.5,16,9,0,9287,14050,0,0
Charged Off,17321,Short Term,734,0.5,Mortgage,76418,DebtConsolidation,910.64,12.8,67,11,0,7621,14770,0,0
Charged Off,20312,Short Term,741,10,Mortgage,79217,HomeImprovements,1993.62,29,NA,22,0,59648,96519,0,0
Charged Off,3998,Short Term,682,10,Rent,63968,Other,554.39,5.9,NA,5,0,18494,21579,0,0
Charged Off,10124,Short Term,728,10,Rent,26727,DebtConsolidation,387.55,10.4,NA,11,1,9208,10523,1,0
Charged Off,10150,Short Term,738,1,Mortgage,56434,DebtConsolidation,968.79,20.7,NA,8,1,14358,16638,0,1
Charged Off,15848,Long Term,720,7,Mortgage,74288,DebtConsolidation,1491.94,28,16,9,0,26188,48676,0,0
Charged Off,6423,Short Term,709,1,Own Home,32160,Other,511.89,16.1,NA,9,0,22532,38982,0,0
Charged Off,9718,Short Term,716,10,Mortgage,84237,DebtConsolidation,441.54,19.8,21,6,0,1364,1624,0,0
Charged Off,13053,Short Term,745,6,Mortgage,130533,DebtConsolidation,294.78,25.8,NA,12,0,14028,63476,0,0
Charged Off,9198,Short Term,693,10,Rent,78271,DebtConsolidation,2211.15,10.2,25,34,0,11135,19165,0,0
Charged Off,15041,Long Term,722,1,Mortgage,46044,DebtConsolidation,886.35,15.5,NA,7,0,17912,26302,0,0
Charged Off,10164,Long Term,719,10,Rent,60984,DebtConsolidation,165.67,13.1,NA,11,0,6341,10878,0,0
Charged Off,12485,Long Term,680,2,Mortgage,50960,Other,1057.42,17,NA,7,0,5665,9683,0,0
Charged Off,19245,Long Term,723,10,Mortgage,73643,DebtConsolidation,2068.13,35.9,NA,15,0,41254,62316,0,0
Charged Off,8591,Short Term,686,1,Rent,17672,DebtConsolidation,584.66,8.9,NA,18,0,7627,17064,0,0
Charged Off,15891,Long Term,704,8,Mortgage,59592,DebtConsolidation,496.1,15.4,27,11,0,22347,32767,0,0
Charged Off,8693,Short Term,709,10,Mortgage,85939,MedicalBills,1274.76,10.5,NA,10,0,11238,23076,0,0
Charged Off,15901,Long Term,711,8,Rent,55653,DebtConsolidation,1465.53,15.6,14,16,0,24686,51429,0,0
Charged Off,24440,Long Term,728,0.5,Mortgage,48880,Other,444,18.2,NA,9,0,16935,34703,0,0
Charged Off,9231,Short Term,714,4,Rent,26800,DebtConsolidation,683.41,12.8,NA,12,0,6819,11717,0,0
Charged Off,8495,Short Term,627,1,Rent,28367,DebtConsolidation,626.44,8.2,NA,5,0,10171,13783,0,0
Charged Off,14846,Long Term,687,7,Rent,64090,DebtConsolidation,358.37,20.6,48,5,0,11892,14921,0,0
Charged Off,6166,Short Term,708,10,Own Home,36094,Other,757.97,17.5,23,8,1,2581,5467,0,0
Charged Off,10690,Short Term,742,1,Rent,173077,DebtConsolidation,876.92,21.9,NA,10,1,23645,40145,0,1
Charged Off,8880,Short Term,745,10,Rent,45667,DebtConsolidation,24.36,15.4,NA,3,0,1039,6337,0,0
Charged Off,5073,Short Term,736,1,Rent,16557,Other,66.92,9.8,NA,10,0,1249,10583,0,0
Charged Off,10151,Short Term,709,10,Rent,53800,DebtConsolidation,515.59,30.4,NA,8,0,15129,25173,0,0
Charged Off,10098,Short Term,724,10,Rent,60588,DebtConsolidation,686.66,16,21,7,0,11514,16882,0,0
Charged Off,6800,Short Term,725,9,Rent,48137,DebtConsolidation,557.59,13.7,42,6,0,7738,18424,0,0
Charged Off,14076,Short Term,701,5,Own Home,35190,DebtConsolidation,956,25.8,35,14,2,12853,26018,1,1
Charged Off,11294,Short Term,709,10,Rent,33391,DebtConsolidation,512,11.6,NA,11,0,19805,20630,0,0
Charged Off,8915,Short Term,742,10,Mortgage,36054,DebtConsolidation,393.59,18.4,NA,6,0,11219,24987,0,0
Charged Off,18146,Long Term,687,1,Rent,58470,Other,662.65,19,8,5,0,10102,20449,0,0
Charged Off,22224,Long Term,713,1,Mortgage,50510,DebtConsolidation,1132.26,22.5,8,15,0,5058,35126,0,0
Charged Off,19706,Short Term,742,5,Own Home,83751,DebtConsolidation,1186.47,14,26,18,0,7096,9462,0,0
Charged Off,19236,Long Term,644,5,Rent,44742,DebtConsolidation,1010.43,41.5,79,15,0,28286,29465,0,0
Charged Off,15053,Short Term,741,7,Mortgage,52182,DebtConsolidation,782.73,16.1,6,10,0,23366,32726,0,0
Charged Off,9723,Short Term,696,3,Rent,29763,DebtConsolidation,572.94,9.8,NA,6,0,4784,5257,0,0
Charged Off,26815,Long Term,689,10,Mortgage,60714,DebtConsolidation,718.45,12,NA,13,0,8792,11330,0,0
Charged Off,9140,Short Term,717,1,Rent,45572,DebtConsolidation,150.01,20.6,NA,9,1,3165,5754,1,0
Charged Off,8643,Short Term,701,0.5,Mortgage,40401,DebtConsolidation,595.92,14.9,81,5,0,3176,3950,0,0
Charged Off,15171,Short Term,741,10,Rent,41653,DebtConsolidation,638.69,9.9,NA,15,0,9347,20232,0,0
Charged Off,6872,Short Term,740,2,Rent,53994,Other,373.91,10,7,8,0,8917,22574,0,0
Charged Off,5977,Short Term,725,1,Rent,50655,DebtConsolidation,173.92,48.3,77,5,0,2718,4456,0,0
Charged Off,30421,Short Term,680,1,Mortgage,72541,DebtConsolidation,405.63,9.3,NA,15,1,12109,25655,0,1
Charged Off,10422,Long Term,626,5,Rent,34171,DebtConsolidation,803.01,20.4,NA,14,0,13703,22246,0,0
Charged Off,18200,Long Term,716,1,Rent,50000,DebtConsolidation,929.17,13,34,15,0,13726,40252,0,0
Charged Off,15362,Long Term,689,5,Own Home,69639,HomeImprovements,2002.12,27.6,NA,10,0,30899,32457,0,0
Charged Off,15606,Long Term,716,5,Rent,44867,DebtConsolidation,931,11.7,15,8,0,6488,8583,0,0
Charged Off,24783,Short Term,721,6,Own Home,89217,DebtConsolidation,2200.69,12.1,24,17,0,19104,20324,0,0
Charged Off,6035,Short Term,707,10,Mortgage,40232,MajorPurchase,284.64,18,NA,16,0,3015,15787,0,0
Charged Off,22832,Short Term,705,1,Mortgage,163086,DebtConsolidation,2813.23,25.6,NA,16,0,79667,86877,0,0
Charged Off,18369,Short Term,744,10,Mortgage,59189,DebtConsolidation,853.31,15.6,NA,12,0,20742,27042,0,0
Charged Off,7861,Short Term,641,3,Mortgage,23386,HomeImprovements,179.87,26.6,NA,6,0,6390,7765,0,0
Charged Off,14993,Short Term,733,7,Mortgage,84958,DebtConsolidation,1911.54,16.1,2,12,0,25493,39895,0,0
Charged Off,16038,Short Term,729,0.5,Mortgage,63317,DebtConsolidation,970.85,26.7,27,7,1,9805,10026,0,0
Charged Off,29865,Short Term,741,10,Mortgage,99550,DebtConsolidation,1103.34,27.1,4,13,0,33205,62532,0,0
Charged Off,25325,Long Term,667,10,Mortgage,709155,DebtConsolidation,1264.66,25.5,NA,10,0,29620,35137,0,0
Charged Off,3155,Short Term,726,6,Mortgage,46337,DebtConsolidation,424.76,17.9,NA,6,0,3323,6895,0,0
Charged Off,23916,Long Term,721,10,Mortgage,55804,DebtConsolidation,851.01,14.7,NA,13,0,17122,18940,0,0
Charged Off,6031,Short Term,748,0.5,Rent,16886,DebtConsolidation,444.66,19.7,51,15,0,11322,29333,0,0
Charged Off,8135,Short Term,714,9,Rent,48811,DebtConsolidation,1114.52,26.8,NA,13,0,28610,37945,0,0
Charged Off,25030,Long Term,669,1,Mortgage,104125,Other,677.68,25.2,NA,14,0,11447,52508,0,0
Charged Off,4405,Short Term,709,4,Rent,29364,Other,508.98,8.8,NA,7,0,2525,2742,0,0
Charged Off,20208,Long Term,721,2,Mortgage,126688,DebtConsolidation,2407.08,17,48,15,0,20412,33136,0,0
Charged Off,9914,Short Term,716,10,Rent,47587,DebtConsolidation,1090.54,15.3,NA,18,0,25779,27869,0,0
Charged Off,3976,Short Term,711,0.5,Rent,25574,DebtConsolidation,394.26,17.5,NA,2,0,0,0,0,0
Charged Off,21206,Long Term,665,10,Rent,83258,DebtConsolidation,1352.93,12.9,NA,7,0,17047,25482,0,0
Charged Off,2806,Long Term,723,1,Rent,20539,Other,124.26,17.8,78,4,0,5487,13319,0,0
Charged Off,2446,Short Term,723,3,Rent,50950,DebtConsolidation,1057.21,10.3,NA,13,0,17846,22532,0,0
Charged Off,10058,Short Term,738,1,Own Home,30174,DebtConsolidation,666.34,22.2,NA,16,0,15756,40091,0,0
Charged Off,18266,Long Term,707,7,Rent,45666,DebtConsolidation,1354.76,21.1,NA,17,0,23588,25779,0,0
Charged Off,14603,Short Term,751,10,Own Home,28565,Other,411.81,16,NA,9,0,5336,16267,0,0
Charged Off,5701,Short Term,692,2,Rent,94021,HomeImprovements,1057.74,17,25,8,3,1981,10159,3,0
Charged Off,17194,Long Term,719,2,Own Home,50870,DebtConsolidation,958.06,18.6,5,10,0,15200,40860,0,0
Charged Off,24418,Short Term,726,0.5,Mortgage,91566,DebtConsolidation,1251.4,22.5,33,11,0,25072,44218,0,0
Charged Off,22176,Long Term,686,7,Own Home,70594,DebtConsolidation,1147.15,22.2,NA,6,0,9193,9313,0,0
Charged Off,8926,Short Term,750,2,Own Home,73163,DebtConsolidation,737.72,14.4,NA,12,0,19263,65299,0,0
Charged Off,4012,Short Term,695,1,Rent,14639,DebtConsolidation,240.32,8.9,NA,13,0,3608,6221,0,0
Charged Off,13078,Short Term,731,5,Rent,35210,DebtConsolidation,557.5,12.4,NA,10,0,15826,27147,0,0
Charged Off,11168,Long Term,663,2,Rent,46920,Other,649.06,10.7,6,10,0,16162,19449,0,0
Charged Off,30435,Long Term,685,10,Rent,81164,DebtConsolidation,1025.38,16.7,NA,8,0,17740,24951,0,0
Charged Off,30528,Short Term,747,2,Rent,76320,Other,1233.84,42.5,NA,9,0,16804,44337,0,0
Charged Off,28400,Long Term,712,10,Mortgage,81144,HomeImprovements,872.3,17.9,39,8,0,15553,18560,0,0
Charged Off,18011,Long Term,684,10,Mortgage,160096,DebtConsolidation,3015.14,25.9,43,19,0,22428,40051,0,0
Charged Off,5118,Short Term,745,1,Mortgage,66534,DebtConsolidation,1175.43,11,NA,8,0,9940,13710,0,0
Charged Off,12007,Short Term,699,1,Mortgage,73965,DebtConsolidation,1503.96,25.8,5,24,0,14766,17251,0,0
Charged Off,20086,Long Term,726,10,Mortgage,50215,BusinessLoan,759.08,24.9,NA,14,0,14843,28598,0,0
Charged Off,23072,Long Term,645,3,Mortgage,52035,HomeImprovements,490,11.7,19,11,0,8158,14337,0,0
Charged Off,24440,Long Term,692,0.5,Rent,70387,DebtConsolidation,1929.78,19.2,14,7,0,24011,25037,0,0
Charged Off,21936,Long Term,629,10,Rent,49107,DebtConsolidation,1006.69,11.1,NA,16,0,15573,26260,0,0
Charged Off,3036,Short Term,738,7,Mortgage,70840,DebtConsolidation,289.26,20.5,35,7,0,8070,9817,0,0
Charged Off,30833,Short Term,656,10,Mortgage,92013,DebtConsolidation,1694.57,16,27,15,0,16242,39232,0,0
Charged Off,34363,Short Term,738,10,Mortgage,245450,DebtConsolidation,996.11,27.1,65,11,0,8564,24824,0,0
Charged Off,27966,Long Term,709,8,Mortgage,76908,DebtConsolidation,910.08,13.9,63,7,0,2304,3278,0,0
Charged Off,5144,Short Term,739,0.5,Own Home,17354,DebtConsolidation,430.96,22.5,NA,3,0,4783,5905,0,0
Charged Off,3955,Short Term,747,9,Mortgage,38559,DebtConsolidation,318.44,24.8,53,7,0,427,9492,0,0
Charged Off,17285,Long Term,654,9,Rent,54016,Other,985.78,10.6,NA,10,0,5177,23966,0,0
Charged Off,19718,Short Term,740,8,Mortgage,48199,DebtConsolidation,554.28,16,NA,13,0,20067,37863,0,0
Charged Off,16310,Short Term,738,10,Mortgage,61944,DebtConsolidation,1398.91,9.6,NA,15,1,21473,29658,1,0
Charged Off,3436,Short Term,743,10,Mortgage,31418,CarPurchase,706.9,13.5,NA,5,0,9715,16984,0,0
Charged Off,14584,Long Term,680,4,Mortgage,65377,DebtConsolidation,1193.13,12.7,NA,8,0,11869,16018,0,0
Charged Off,3367,Short Term,634,1,Mortgage,127790,DebtConsolidation,1906.2,15.4,16,10,0,10993,11499,0,0
Charged Off,6433,Short Term,734,0.5,Mortgage,20665,DebtConsolidation,330.64,22.1,NA,6,1,11792,12465,1,0
Charged Off,5855,Short Term,722,2,Rent,52699,DebtConsolidation,698.26,31.2,33,6,0,25487,31005,0,0
Charged Off,11922,Long Term,720,1,Rent,39740,DebtConsolidation,702.08,23.3,NA,13,0,12534,23829,0,0
Charged Off,10045,Short Term,725,3,Mortgage,61318,DebtConsolidation,1103.71,21.3,39,8,0,23877,24414,0,0
Charged Off,5157,Short Term,714,6,Rent,53111,CarPurchase,610.78,15.4,43,11,0,12844,20817,0,0
Charged Off,6291,Short Term,724,5,Rent,45297,DebtConsolidation,664.36,8.4,42,5,0,4936,5337,0,0
Charged Off,4800,Short Term,738,7,Mortgage,79232,HomeImprovements,588.3,14.6,NA,12,1,7996,19176,1,0
Charged Off,7071,Short Term,708,7,Rent,42230,DebtConsolidation,446.93,18.4,32,10,0,5778,6580,0,0
Charged Off,10567,Long Term,721,2,Rent,39250,DebtConsolidation,742.47,10.1,NA,12,0,5180,12634,0,0
Charged Off,9949,Short Term,716,3,Rent,29847,DebtConsolidation,318.37,8.4,NA,10,0,10834,37105,0,0
Charged Off,11932,Short Term,731,2,Rent,44744,DebtConsolidation,935.88,17.5,NA,12,1,9318,12923,1,0
Charged Off,1966,Short Term,719,4,Mortgage,42269,Vacation,1183.53,18.4,65,12,0,13903,16128,0,0
Charged Off,4938,Short Term,743,10,Own Home,41479,CarPurchase,559.97,15.5,NA,8,0,18239,22325,0,0
Charged Off,4761,Short Term,723,0.5,Rent,15985,DebtConsolidation,189.15,31.6,NA,5,1,7307,13285,1,0
Charged Off,8107,Short Term,733,2,Rent,68911,DebtConsolidation,1160.01,7,9,25,1,12121,40404,0,0
Charged Off,11815,Long Term,670,2,Mortgage,37415,DebtConsolidation,975.91,36.5,NA,18,0,10946,44677,0,0
Charged Off,16080,Long Term,705,2,Rent,64525,DebtConsolidation,1537.84,16.3,NA,18,0,36769,47504,0,0
Charged Off,13805,Long Term,672,5,Rent,59166,DebtConsolidation,1173.46,18.4,NA,19,0,14294,25661,0,0
Charged Off,9873,Long Term,718,6,Mortgage,38505,DebtConsolidation,313.81,11.5,NA,11,0,9968,14020,0,0
Charged Off,12287,Long Term,666,10,Mortgage,78636,DebtConsolidation,1402.33,12,45,5,0,4388,6045,0,0
Charged Off,34584,Long Term,667,10,Mortgage,108691,DebtConsolidation,1621.3,18.3,77,7,1,7834,12434,0,0
Charged Off,16288,Short Term,728,10,Rent,71260,DebtConsolidation,1062.97,16.5,19,19,0,23666,57864,0,0
Charged Off,17725,Long Term,723,0.5,Mortgage,49235,DebtConsolidation,816.48,18.8,61,15,0,7963,13184,0,0
Charged Off,29703,Long Term,623,1,Own Home,75008,BusinessLoan,1962.7,18.9,66,18,0,2223,31313,0,0
Charged Off,28162,Long Term,719,7,Mortgage,105609,DebtConsolidation,668.86,16.8,NA,6,0,16906,17592,0,0
Charged Off,5608,Short Term,724,3,Mortgage,21947,DebtConsolidation,262.44,11,NA,3,0,0,0,0,0
Charged Off,7355,Short Term,693,6,Mortgage,107877,DebtConsolidation,2310.36,28.3,17,13,0,6198,6767,0,0
Charged Off,9363,Short Term,719,4,Rent,40164,DebtConsolidation,900.35,15.1,NA,17,0,14611,25723,0,0
Charged Off,7877,Long Term,684,4,Own Home,49230,DebtConsolidation,972.29,16.9,NA,9,0,20783,30208,0,0
Charged Off,13087,Short Term,708,7,Rent,48925,DebtConsolidation,994.81,12.1,NA,17,1,5255,20934,1,0
Charged Off,19756,Long Term,683,10,Rent,79024,BusinessLoan,1415.84,21.3,NA,7,1,46902,62955,0,1
Charged Off,14684,Short Term,735,8,Mortgage,92996,DebtConsolidation,1991.65,15.4,5,14,0,19541,31518,0,0
Charged Off,20218,Long Term,684,7,Rent,48523,DebtConsolidation,768.28,13,NA,16,0,8623,43115,0,0
Charged Off,15608,Short Term,729,7,Rent,109256,DebtConsolidation,1474.96,19.8,NA,16,0,17521,33824,0,0
Charged Off,11831,Short Term,732,1,Rent,39436,DebtConsolidation,634.26,13.8,NA,12,0,10453,17248,0,0
Charged Off,11785,Short Term,733,10,Mortgage,104423,DebtConsolidation,698.77,42.3,50,9,2,6637,12134,0,2
Charged Off,20232,Short Term,718,10,Rent,65754,Other,739.73,14.9,0,7,1,6115,17522,NA,0
Charged Off,19586,Long Term,610,10,Mortgage,62499,DebtConsolidation,127.08,19.6,9,20,0,2979,11682,0,0
Charged Off,9409,Short Term,749,3,Rent,58841,DebtConsolidation,696.28,9.8,NA,15,0,7690,18485,0,0
Charged Off,16325,Long Term,674,10,Mortgage,48974,DebtConsolidation,1040.71,11.7,17,9,0,11316,14583,0,0
Charged Off,28417,Long Term,710,10,Mortgage,64863,DebtConsolidation,654.04,15.5,NA,8,0,4340,7382,0,0
Charged Off,5992,Long Term,729,6,Mortgage,105858,Other,1569.35,21.7,NA,11,0,5103,9195,0,0
Charged Off,34738,Long Term,692,1,Mortgage,94288,DebtConsolidation,777.87,22.4,NA,12,0,38807,66450,0,0
Charged Off,5918,Short Term,733,6,Rent,37483,DebtConsolidation,421.69,22.8,59,10,0,5376,21590,0,0
Charged Off,15015,Short Term,724,1,Mortgage,57057,BusinessLoan,518.27,23.8,61,17,0,5758,15033,0,0
Charged Off,11804,Long Term,707,4,Rent,27544,DebtConsolidation,656.45,5.5,NA,9,0,7383,25111,0,0
Charged Off,1430,Short Term,700,5,Rent,51065,Vacation,1289.39,12.6,NA,19,0,13471,24404,0,0
Charged Off,1957,Short Term,711,0.5,Rent,20100,DebtConsolidation,458.96,16,18,2,0,565,1004,0,0
Charged Off,16356,Short Term,698,10,Mortgage,57903,DebtConsolidation,1534.44,12.7,3,10,0,23196,27516,0,0
Charged Off,2748,Short Term,707,9,Mortgage,40242,MedicalBills,952.38,14.5,22,19,0,20252,24941,0,0
Charged Off,10190,Short Term,743,1,Rent,202985,DebtConsolidation,3298.5,18.8,9,22,0,74010,76615,0,0
Charged Off,32531,Short Term,704,10,Mortgage,91246,DebtConsolidation,1741.27,22.4,NA,19,1,15142,129417,1,0
Charged Off,7047,Short Term,721,7,Rent,26174,DebtConsolidation,192.38,6,NA,4,0,9185,11080,0,0
Charged Off,4736,Short Term,702,0.5,Mortgage,51195,DebtConsolidation,1186.01,13.5,79,6,1,796,1127,1,0
Charged Off,10079,Short Term,723,0.5,Rent,30390,DebtConsolidation,390.01,27.4,NA,6,2,14442,16716,1,1
Charged Off,19026,Long Term,704,4,Mortgage,63252,DebtConsolidation,1259.77,16.6,NA,18,1,12238,15164,1,0
Charged Off,19576,Long Term,666,10,Mortgage,41110,DebtConsolidation,942.1,31.5,65,10,0,15148,17431,0,0
Charged Off,27748,Long Term,681,1,Mortgage,118748,BusinessLoan,1326.02,9.9,NA,12,1,11532,17935,1,0
Charged Off,14378,Short Term,739,5,Rent,40939,DebtConsolidation,552.67,15.8,NA,12,0,9702,17482,0,0
Charged Off,16666,Short Term,728,10,Rent,41727,DebtConsolidation,977.11,14.4,NA,16,0,19046,52182,0,0
Charged Off,10103,Short Term,713,1,Rent,72742,Other,213.38,18.4,NA,7,0,9505,19010,0,0
Charged Off,24508,Short Term,738,1,Rent,196060,DebtConsolidation,1026.05,16.9,NA,9,0,14870,42486,0,0
Charged Off,2748,Short Term,723,0.5,Rent,24978,DebtConsolidation,127.8,27.1,NA,6,1,2842,5573,1,0
Charged Off,3073,Short Term,743,2,Mortgage,68621,HomeImprovements,1406.74,20.9,45,19,0,11934,19468,0,0
Charged Off,9873,Short Term,733,9,Rent,49365,DebtConsolidation,826.86,16.3,NA,11,0,11105,28845,0,0
Charged Off,14024,Long Term,726,6,Rent,75128,DebtConsolidation,1039.26,15.8,54,21,1,8392,15512,1,0
Charged Off,10227,Short Term,712,1,Mortgage,46022,DebtConsolidation,705.66,9.3,NA,4,0,12233,16267,0,0
Charged Off,4920,Short Term,746,10,Mortgage,98390,DebtConsolidation,1338.92,21.1,NA,17,0,73154,117800,0,0
Charged Off,22573,Short Term,685,1,Rent,59532,DebtConsolidation,1319.63,13.8,NA,12,0,34606,53570,0,0
Charged Off,9018,Short Term,661,3,Mortgage,63538,DebtConsolidation,1133.09,12.5,46,15,1,7120,21643,1,0
Charged Off,14660,Long Term,703,2,Mortgage,39892,DebtConsolidation,541.86,8.6,NA,7,0,5212,9670,0,0
Charged Off,8103,Short Term,748,2,Rent,30387,Other,204.61,12.3,NA,10,0,7741,24114,0,0
Charged Off,14638,Long Term,674,10,Rent,50825,DebtConsolidation,842.85,23.4,72,11,0,11944,19808,0,0
Charged Off,11935,Long Term,675,10,Mortgage,63654,DebtConsolidation,1050.3,14,31,12,0,5177,8557,0,0
Charged Off,9894,Short Term,686,3,Rent,59364,DebtConsolidation,934.98,16,NA,4,0,9716,11377,0,0
Charged Off,10860,Short Term,746,7,Own Home,36201,DebtConsolidation,316.76,10.7,20,8,0,2741,10751,0,0
Charged Off,10925,Short Term,742,1,Mortgage,53390,DebtConsolidation,573.95,33.2,NA,9,1,6387,14889,1,0
Charged Off,24322,Long Term,645,1,Rent,86139,DebtConsolidation,1019.31,9.5,NA,7,0,23478,24229,0,0
Charged Off,14720,Short Term,734,3,Rent,78504,DebtConsolidation,1694.38,16.3,NA,15,0,26961,48755,0,0
Charged Off,15269,Short Term,724,6,Mortgage,91611,DebtConsolidation,1129.87,19,NA,16,0,17495,35343,0,0
Charged Off,20973,Long Term,675,9,Mortgage,44043,DebtConsolidation,858.83,10.7,6,23,0,8963,21290,0,0
Charged Off,1945,Short Term,737,10,Mortgage,59844,HomeImprovements,668.26,39.4,22,6,0,211,1298,0,0
Charged Off,14067,Short Term,713,7,Rent,59334,DebtConsolidation,1028.46,18.7,3,11,0,13469,20073,0,0
Charged Off,13309,Long Term,722,4,Rent,43635,DebtConsolidation,1229.06,18.8,23,8,0,5697,6965,0,0
Charged Off,2009,Short Term,712,10,Rent,40172,DebtConsolidation,159.68,11,NA,6,0,2153,2510,0,0
Charged Off,11408,Short Term,701,9,Mortgage,38277,DebtConsolidation,596.49,16.3,60,14,0,10894,15607,0,0
Charged Off,13833,Short Term,744,0.5,Mortgage,39345,DebtConsolidation,475.42,15,NA,7,0,4229,11278,0,0
Charged Off,1833,Short Term,681,0.5,Rent,30549,DebtConsolidation,570.25,14.3,32,5,0,22203,28612,0,0
Charged Off,4891,Short Term,706,9,Rent,41084,DebtConsolidation,814.84,5.3,NA,12,1,4456,16144,1,0
Charged Off,23472,Short Term,744,7,Rent,164304,DebtConsolidation,1332.23,35.6,52,5,0,4139,9492,0,0
Charged Off,12193,Short Term,742,4,Rent,60966,DebtConsolidation,1285.37,19.4,NA,12,0,10641,23182,0,0
Charged Off,3235,Short Term,716,1,Own Home,15285,BusinessLoan,155.4,12.5,0,16,0,2921,5302,NA,0
Charged Off,20552,Long Term,702,9,Mortgage,66203,DebtConsolidation,1241.3,13.3,NA,11,0,3045,23426,0,0
Charged Off,17410,Long Term,716,3,Mortgage,39400,DebtConsolidation,715.77,13,NA,8,0,16848,17735,0,0
Charged Off,2389,Short Term,655,10,Rent,16922,Other,224.21,11.5,NA,7,0,5793,8557,0,0
Charged Off,7872,Short Term,684,0.5,Rent,21927,DebtConsolidation,537.21,40.8,NA,7,0,22016,27418,0,0
