Current Loan Amount,Credit Score,Years in current job,Annual Income,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status,
8095,733,10,60714,1029.1,23.9,34.99535452,17,0,24840,56072,0,0,Charged Off,
19337,695,9,50913,1035.23,16,32.50352119,33,0,24610,35615,0,0,Charged Off,
35102,712,3,160464,1524.41,27.7,29.36388867,9,0,12668,16452,0,0,Charged Off,
4892,710,7,84142,1444.44,25.4,47,12,0,35573,46561,0,0,Charged Off,
14390,740,1,29268,436.58,16.2,72,11,0,19585,30746,0,0,Charged Off,
15188,711,1,263250,2171.81,16.2,24.27646951,10,0,21173,20146,0,0,Charged Off,
34920,704,10,139678,3433.75,25.5,7,15,0,29104,46866,0,0,Charged Off,
3961,715,5,34530,359.7,13.1,36.21264765,8,0,7736,11975,0,0,Charged Off,
19424,725,10,49175,1008.09,19.1,77,9,0,16103,27064,0,0,Charged Off,
10001,702,10,56006,714.07,28.5,38,13,0,10268,16456,0,0,Charged Off,
18274,689,2,81384,1003.73,18.2,4,9,0,10346,18376,0,0,Charged Off,
14178,725,1,63778,1456.27,15.2,17,13,0,9709,16182,0,0,Charged Off,
24564,707,1,49275,1379.7,8.7,37.55856332,17,0,33805,51610,0,0,Charged Off,
24305,746,1,101270,1173.04,19.7,16,11,0,32459,57860,0,0,Charged Off,
15206,740,5,55754,1017.5,22.1,36.41719002,13,0,13222,25137,0,0,Charged Off,
24850,728,3,58646,460.37,12.9,36.59625154,9,0,4753,19166,0,0,Charged Off,
22683,691,10,65455,372.01,24.5,13,20,1,6629,21951,1,0,Charged Off,
7885,696,4,46323,232.78,17.2,70,7,0,2980,8188,0,0,Charged Off,
15035,701,1,60138,546.25,9.9,34.67506179,10,0,10477,10925,0,0,Charged Off,
19371,700,10,49040,1328.17,28,34.78967094,12,0,27987,30587,0,0,Charged Off,
23424,721,10,59250,1362.75,18.7,36.29532656,16,0,21556,40981,0,0,Charged Off,
10120,725,10,45540,1396.56,13.9,37.34840683,14,0,13121,18934,0,0,Charged Off,
27812,691,10,198660,1044.62,39.3,12,9,0,26227,36836,0,0,Charged Off,
10155,730,3,69692,975.69,13.7,43.41068229,10,1,10045,16439,1,0,Charged Off,
15036,747,4,40096,608.13,15.4,38.2925892,12,0,11917,33287,0,0,Charged Off,
15652,674,6,58568,507.6,22.2,31.87445701,6,0,11152,20691,0,0,Charged Off,
13818,730,4,78960,756.7,8.5,35.85542117,8,0,934,2763,0,0,Charged Off,
17838,701,6,64415,1220.13,16.4,34.67913378,13,0,20660,32231,0,0,Charged Off,
12605,702,2,35294,1111.76,8,37.32953876,7,0,3397,5643,0,0,Charged Off,
16818,733,3,37148,643.9,19,37.45605025,8,0,5418,8825,0,0,Charged Off,
4956,734,2,34689,676.43,14.7,25,8,0,3077,4853,0,0,Charged Off,
15771,724,3,72942,778.04,17.7,36,19,0,24725,34972,0,0,Charged Off,
8950,726,10,40971,1191.57,14.1,38.00208855,10,0,15713,19617,0,0,Charged Off,
31747,739,10,108992,1634.88,22.5,35.62541923,10,0,23117,32332,0,0,Charged Off,
9603,715,9,34551,480.84,25.4,35.43935192,5,0,5687,8338,0,0,Charged Off,
9819,698,10,36638,292.49,24.2,19,16,0,4278,9320,0,0,Charged Off,
8314,734,10,52088,1284.85,17,12,10,0,14616,19436,0,0,Charged Off,
5816,641,6,32090,363.69,15.3,50,9,0,6052,7518,0,0,Charged Off,
10107,740,1,54659,1125.06,14.8,23,20,0,4162,35271,0,0,Charged Off,
12161,738,1,54599,687.03,16,7,13,0,12677,15886,0,0,Charged Off,
12464,659,3,34622,949.22,12.9,44,8,1,543,17519,1,0,Charged Off,
7890,717,10,30575,856.11,10.9,38.10050128,5,0,2325,2859,0,0,Charged Off,
5443,736,10,84664,1107.68,14.1,12,10,0,7308,10485,0,0,Charged Off,
24315,699,6,44388,800.84,23.3,35.26954785,4,0,5071,12339,0,0,Charged Off,
12443,672,1,35695,597.9,13,34.12429231,5,0,4200,5128,0,0,Charged Off,
34370,644,1,129624,1274.64,17,49,7,0,15102,22676,0,0,Charged Off,
8835,727,10,73628,1466.41,30.1,12,12,0,5613,11093,0,0,Charged Off,
15264,740,8,49862,889.21,23.5,62,7,0,22290,38968,0,0,Charged Off,
12804,714,10,38923,424.91,27,37,14,0,6987,14617,0,0,Charged Off,
29649,708,2,128479,1670.23,25,9,11,0,21151,27866,0,0,Charged Off,
25215,687,10,110946,921.78,16.5,38.88767246,8,1,15796,18156,1,0,Charged Off,
5915,731,10,31053,150.87,37.5,34.8552804,3,0,7590,10936,0,0,Charged Off,
31951,712,3,71456,1816.18,28,39,12,0,32885,39010,0,0,Charged Off,
15315,720,10,121435,1183.99,13.7,33.35178824,5,0,10584,20712,0,0,Charged Off,
26394,674,7,78936,1131.42,15.9,36,6,1,11257,18069,1,0,Charged Off,
19424,708,2,72461,1008.41,24.4,48,12,1,4072,20462,1,0,Charged Off,
16016,684,6,43245,886.52,13.5,18,15,0,5527,26574,0,0,Charged Off,
5969,702,10,53725,316.53,30.1,39.08517778,11,1,8625,18508,1,0,Charged Off,
34286,633,10,84246,1186.46,22.6,48,16,0,42838,190391,0,0,Charged Off,
5992,705,3,74895,1485.42,15.8,33.26172439,21,0,30407,57589,0,0,Charged Off,
3016,747,7,50265,265.57,24.5,55,6,0,8118,26103,0,0,Charged Off,
7932,703,6,38676,331.33,16,46,3,0,9112,12999,0,0,Charged Off,
10765,716,1,58716,1472.79,12.2,22,10,0,13610,17427,0,0,Charged Off,
7134,733,8,41221,453.44,8.4,38.30301499,6,0,6874,9614,0,0,Charged Off,
9063,691,8,28675,704.92,13,37.09729241,3,0,23598,23551,0,0,Charged Off,
25140,737,10,85476,1082.7,14.5,27,5,0,3420,4223,0,0,Charged Off,
7053,717,2,35510,621.43,9.8,36.77465194,11,0,7557,10157,0,0,Charged Off,
25295,680,3,53625,295.38,12.5,19,11,0,1661,12492,0,0,Charged Off,
21762,732,8,55413,877.36,16.5,37.0518885,14,0,19774,24383,0,0,Charged Off,
24557,744,10,143248,1874.16,15.3,51,10,0,27000,40000,0,0,Charged Off,
20260,687,10,106365,1001.6,18.8,26,22,0,13984,32223,0,0,Charged Off,
4876,736,6,56556,688.1,14.4,36.79996425,6,0,5297,5653,0,0,Charged Off,
12070,720,9,45261,345.87,16,36.13007799,8,0,10380,15087,0,0,Charged Off,
12451,704,10,54664,687.86,16.2,34.5015949,11,0,10630,11131,0,0,Charged Off,
4810,717,7,80168,1389.58,16.8,18,11,0,11045,16735,0,0,Charged Off,
24379,732,10,77201,836.34,29.2,7,4,0,20717,20821,0,0,Charged Off,
10126,731,5,33416,178.22,10.7,38.31081235,5,0,9236,11034,0,0,Charged Off,
2396,727,10,67898,746.88,25.2,2,10,0,12350,21667,0,0,Charged Off,
9450,705,10,53166,872.81,14.4,34.40776786,20,0,26622,31883,0,0,Charged Off,
4915,737,10,33910,474.74,13,6,11,0,5713,13073,0,0,Charged Off,
20064,738,0.5,45716,628.59,28.8,36.64381544,7,0,17211,25199,0,0,Charged Off,
14738,740,10,168473,2850.01,20.9,9,16,0,9254,14237,0,0,Charged Off,
24511,685,10,49022,735.34,17.5,13,13,1,6751,17673,1,0,Charged Off,
6937,692,2,39640,650.76,9.1,34.86521369,13,0,13291,14574,0,0,Charged Off,
34923,657,2,157652,2208.45,22.5,11,10,0,38199,54337,0,0,Charged Off,
15044,733,5,67395,870.52,14.9,0,12,0,12605,27285,-0.012351065,0,Charged Off,
2185,705,10,8659,116.17,36,33.97135287,5,0,3609,5897,0,0,Charged Off,
12540,670,8,43603,1140.95,10,66,5,0,14710,15228,0,0,Charged Off,
14946,724,8,59784,533.07,7,36.90311108,9,0,9394,23904,0,0,Charged Off,
19447,727,6,54127,744.26,15.8,22,18,0,12072,23487,0,0,Charged Off,
4327,742,1,88506,892.44,21.7,82,7,0,7236,13085,0,0,Charged Off,
7090,734,5,88623,1255.49,12.2,35.55156121,9,0,9564,10142,0,0,Charged Off,
30402,652,10,152010,876.59,23.5,26.50811578,7,0,34813,46294,0,0,Charged Off,
28596,717,10,69503,695.03,17.5,58,6,0,24619,28104,0,0,Charged Off,
12216,746,1,45810,656.61,13.3,38.63075677,8,0,14047,29824,0,0,Charged Off,
11742,741,4,76323,1513.74,30,37,10,0,20874,27005,0,0,Charged Off,
8471,717,0.5,50125,442.77,22.2,33,10,0,2513,6613,0,0,Charged Off,
22922,726,10,64922,649.22,19.4,36.9444151,10,0,42972,53649,0,0,Charged Off,
15198,749,2,86122,1349.25,11.7,36.5974357,15,0,14312,61959,0,0,Charged Off,
17912,700,10,46192,1004.67,15.7,36.49578759,7,0,20613,31232,0,0,Charged Off,
34220,742,10,303087,1790.74,31,3,9,0,41384,61401,0,0,Charged Off,
19646,726,7,74655,1032.72,16.3,51,11,0,20744,31817,0,0,Charged Off,
10087,747,2,50435,1017.1,11.8,38.97797756,5,0,3015,6555,0,0,Charged Off,
12029,744,1,66858,1571.16,30.5,47,9,0,34426,44593,0,0,Charged Off,
15982,712,10,39956,852.39,12.9,37.50851572,11,0,26592,32468,0,0,Charged Off,
12008,738,10,145102,1438.93,22.8,24,13,0,9251,23421,0,0,Charged Off,
7858,682,10,31119,632.76,32,58,12,2,7503,15036,2,0,Charged Off,
12469,638,9,65368,341,12.3,78,11,0,9040,11665,0,0,Charged Off,
13786,740,8,38403,633.65,16.2,45.62701568,11,1,13772,23745,1,0,Charged Off,
12287,741,7,53243,260.89,16.2,36.26874318,14,0,15386,32461,0,0,Charged Off,
19530,667,3,58590,781.2,12.6,33.23052612,8,0,18075,21882,0,0,Charged Off,
13522,716,10,41080,999.62,23.5,22,9,0,6289,12236,0,0,Charged Off,
6056,741,5,94874,853.87,11.5,35.32227247,6,0,4031,7263,0,0,Charged Off,
4705,734,10,32347,644.24,31,34,16,0,14179,21647,0,0,Charged Off,
32525,704,10,101599,1574.79,14.9,35,10,0,9143,12190,0,0,Charged Off,
4995,748,0.5,29967,439.52,34.7,33,12,0,3895,25456,0,0,Charged Off,
30552,695,10,122208,1517.42,12,81,19,0,46244,67020,0,0,Charged Off,
11958,738,10,38617,424.79,19.4,44.48787857,12,1,12113,26978,1,0,Charged Off,
2960,721,1,22694,650.56,23.6,61,11,0,15589,22398,0,0,Charged Off,
35333,699,6,97922,2088.99,17,35.13354573,14,0,39258,41988,0,0,Charged Off,
19766,630,10,59298,1630.7,18.1,31.19269403,9,0,22420,34813,0,0,Charged Off,
7808,729,5,100577,1211.11,16.5,50,10,0,30143,35630,0,0,Charged Off,
13183,694,1,43613,1090.32,18.6,34.31936893,13,0,12270,16948,0,0,Charged Off,
32184,623,4,132509,2970.41,14.6,22,13,0,14388,23744,0,0,Charged Off,
11726,720,10,58632,708.47,14.4,42,8,1,11698,26587,0,1,Charged Off,
16910,739,6,59682,802.72,13.9,36.98424636,10,0,1213,4474,0,0,Charged Off,
31878,699,10,71726,1273.14,20.5,35.24124593,10,0,29312,42980,0,0,Charged Off,
17865,698,1,44663,878.36,14.7,34.13843722,21,0,17101,26188,0,0,Charged Off,
34321,719,10,117672,2108.29,19.2,33.90316726,22,0,42512,122161,0,0,Charged Off,
11814,718,2,42334,522.11,16,44.01044207,5,1,6745,11317,1,0,Charged Off,
15078,709,10,92478,1726.26,10.8,73,15,0,9456,13665,0,0,Charged Off,
34671,693,10,106985,1649.35,40.4,30.1884129,10,0,20825,31891,0,0,Charged Off,
13286,663,10,48348,1176.47,14.4,64,14,1,24589,34780,1,0,Charged Off,
10203,725,10,40812,629.19,15.5,62,13,0,8249,8701,0,0,Charged Off,
6481,743,2,22328,381.44,35.6,19,12,0,9609,24023,0,0,Charged Off,
30606,720,10,90832,1339.77,19.2,34.25513188,23,0,38547,67746,0,0,Charged Off,
11490,678,1,40094,895.43,31.7,35,20,0,24606,45651,0,0,Charged Off,
11917,689,10,65529,1769.27,17.8,13,17,0,19520,32697,0,0,Charged Off,
14915,708,9,63635,758.32,17.9,35.05386177,14,0,42616,65664,0,0,Charged Off,
7172,721,1,49176,499.96,6.7,36.77606848,8,0,6211,13832,0,0,Charged Off,
25130,693,8,80416,597.09,8.6,33.48857435,10,0,2981,10573,0,0,Charged Off,
24660,733,10,66089,779.3,17,28,6,0,15111,16569,0,0,Charged Off,
15317,739,9,66372,459.63,19.1,67,12,0,13097,26673,0,0,Charged Off,
24775,718,10,54505,1521.6,13.5,46.42340412,7,1,27356,28735,1,0,Charged Off,
23662,749,3,152815,1999.33,15,8,15,0,15839,23747,0,0,Charged Off,
11894,696,3,54516,1176.63,15,34.55347795,11,0,11556,34190,0,0,Charged Off,
22548,730,7,57394,875.26,15.2,44,14,0,23098,33918,0,0,Charged Off,
5102,734,10,66326,967.26,12.8,68,10,0,10247,14787,0,0,Charged Off,
5978,666,1,19928,229.17,7,34.7404431,5,0,6201,11655,0,0,Charged Off,
19774,743,7,79096,1364.41,15.6,37.52455662,10,0,20663,31936,0,0,Charged Off,
24610,695,7,55804,734.75,13.6,34.93206567,13,0,20066,27526,0,0,Charged Off,
7814,723,10,78144,1126.57,10.6,36.10831746,9,0,20488,21889,0,0,Charged Off,
6332,731,2,31609,587.4,6.8,38.33547429,10,0,4776,10428,0,0,Charged Off,
8206,747,3,57223,730.55,18.7,37.84030854,4,0,16702,24419,0,0,Charged Off,
5865,714,10,56695,609.47,36.9,41,14,0,8566,17882,0,0,Charged Off,
3711,718,2,51802,1148.29,19.6,35.09587512,15,0,23565,30486,0,0,Charged Off,
15047,732,7,55825,683.86,18.2,71,7,0,4808,8420,0,0,Charged Off,
2984,735,3,77594,1280.31,27.3,1,7,0,7825,34778,0,0,Charged Off,
24430,728,7,97720,1123.78,22.7,12,20,0,15436,58692,0,0,Charged Off,
23508,641,4,58770,1567.2,11.7,14,13,0,2674,18068,0,0,Charged Off,
18604,682,10,61248,192.93,13.5,33.37384392,5,0,9417,12358,0,0,Charged Off,
24166,665,2,79560,795.6,18.5,31.73380499,8,0,30427,31728,0,0,Charged Off,
12789,739,1,63947,932.56,16.5,42.12497153,24,1,10834,38831,1,0,Charged Off,
16613,744,8,60496,673.52,19.1,37.44406046,12,0,33223,55096,0,0,Charged Off,
35847,718,1,163872,3181.85,19.4,78,17,0,42679,106699,0,0,Charged Off,
35504,731,10,81152,1210.51,20.1,36.20146434,15,0,25157,34989,0,0,Charged Off,
15132,745,10,45396,465.31,24,23,15,0,11653,33776,0,0,Charged Off,
16299,689,10,113076,377.87,26.4,29.04525404,4,0,8541,8860,0,0,Charged Off,
4922,725,2,37403,511.18,10.1,37.4801922,8,0,11383,11907,0,0,Charged Off,
15110,738,10,69930,1730.77,10,37.35522366,17,0,9447,36473,0,0,Charged Off,
8058,728,10,92672,1235.62,15.1,18,7,0,7390,9972,0,0,Charged Off,
24923,671,10,74768,1314.66,30.6,29.95351762,17,0,17295,18149,0,0,Charged Off,
21648,746,5,97108,692.7,22.4,69,8,0,10972,37320,0,0,Charged Off,
15339,741,10,70559,746.75,21.6,27,9,1,13422,14831,1,0,Charged Off,
14286,728,4,85714,1849.99,15.4,36.51781429,12,0,31773,52173,0,0,Charged Off,
30429,659,4,91287,1399.73,14.5,55,11,0,10954,13294,0,0,Charged Off,
35718,713,10,117358,2992.62,28,37.43991004,12,0,100030,128080,0,0,Charged Off,
8699,728,10,71638,943.24,17.2,29,9,0,8481,11057,0,0,Charged Off,
21002,707,10,90009,915.09,15.5,33.09334634,16,0,21447,31821,0,0,Charged Off,
34895,731,10,85742,743.09,16.8,36.27691071,6,0,8809,11367,0,0,Charged Off,
18060,695,5,49480,1084.43,13.5,35.29382918,15,0,24387,34251,0,0,Charged Off,
7137,727,6,61176,284.47,42.4,20,6,0,4848,5202,0,0,Charged Off,
27768,653,10,80560,1899.88,11,39.47112012,15,1,11360,22540,1,0,Charged Off,
14323,712,10,74686,653.51,23.1,74,12,0,8499,17204,0,0,Charged Off,
30725,682,2,94924,2642.05,15.4,33.65306089,16,0,20335,32851,0,0,Charged Off,
19656,697,2,85504,1987.96,15.5,70,10,0,7205,8650,0,0,Charged Off,
3031,693,4,35361,300.56,8.7,35.35484586,5,0,4613,7981,0,0,Charged Off,
24159,749,10,179946,859.24,17,28,18,1,49363,140635,0,1,Charged Off,
25565,684,5,102260,1295.3,14.7,32.97750217,5,0,20588,13910,0,0,Charged Off,
15712,718,5,51653,410.64,11.6,36.2860564,10,0,14719,19548,0,0,Charged Off,
24588,709,0.5,76838,640.31,16,22,9,0,22650,25195,0,0,Charged Off,
6205,739,7,101618,297.23,26.5,31,9,0,6130,9669,0,0,Charged Off,
4727,723,10,31514,296.75,14.8,14,1,0,0,0,0,0,Charged Off,
20483,712,6,57302,978.91,25.4,35.33651391,10,0,30448,32565,0,0,Charged Off,
10932,737,1,53686,903.7,13.9,35.78422883,21,0,11382,27898,0,0,Charged Off,
11260,725,1,46997,791.11,19.4,72,14,0,17956,21350,0,0,Charged Off,
7167,719,4,34839,554.52,19.6,36.32373334,9,0,18877,24295,0,0,Charged Off,
20752,737,7,118584,1403.24,26,32.92703774,17,0,35048,48745,0,0,Charged Off,
13432,677,2,48867,219.5,12.5,1,12,0,3926,7608,0,0,Charged Off,
8276,737,5,44334,720.43,6.5,38,6,0,2006,6210,0,0,Charged Off,
9900,712,6,43560,711.48,18.6,13,7,1,3083,7220,0,1,Charged Off,
6050,720,0.5,24202,266.22,13.3,37.76241987,4,0,11200,16232,0,0,Charged Off,
20504,693,9,131814,1801.46,5.6,32.25093267,12,0,15392,23535,0,0,Charged Off,
15613,668,6,87023,723.02,20.1,39.84452905,12,2,9119,18022,1,0,Charged Off,
20987,716,5,58876,1408.12,18.6,35.72709285,19,0,29861,46082,0,0,Charged Off,
17026,733,1,64096,1848.1,12,38.04203001,16,0,27219,46608,0,0,Charged Off,
5790,732,1,29568,842.69,15.7,37.255577,15,0,12950,20203,0,0,Charged Off,
7123,678,3,30528,338.35,13,32.54571411,18,0,7090,35987,0,0,Charged Off,
16374,720,4,48587,939.35,22.8,34.81040794,21,0,27302,37400,0,0,Charged Off,
15120,737,10,120960,974.74,13.3,34.36105125,11,0,30929,38184,0,0,Charged Off,
5111,714,1,25548,459.87,11.4,36.6170381,10,0,3910,5626,0,0,Charged Off,
10076,744,2,35266,337.97,29.5,36.40960572,6,0,6141,6955,0,0,Charged Off,
28014,698,3,87686,1015.69,35.4,41,6,0,8550,8663,0,0,Charged Off,
35371,727,2,227385,4945.62,25.1,32.88299123,13,0,69827,79803,0,0,Charged Off,
14448,729,3,79786,731.37,11.4,37.7666242,6,2,5801,11352,0,2,Charged Off,
10150,715,10,84753,988.78,7.8,41,7,0,23692,24552,0,0,Charged Off,
23549,722,9,156992,961.58,29.4,17,10,0,15693,16642,0,0,Charged Off,
19582,621,2,103785,1288.66,14.7,27.27776918,6,0,5507,11450,0,0,Charged Off,
26979,725,10,97176,906.97,22.4,35.63070257,16,0,94683,402905,0,0,Charged Off,
12503,728,1,36574,142.64,21.4,36.0516929,6,0,3510,7581,0,0,Charged Off,
8123,717,9,55847,1186.75,12.3,35.56968466,17,0,14142,20829,0,0,Charged Off,
5546,725,1,25210,231.1,8.4,45.08637576,10,1,4796,10076,1,0,Charged Off,
34199,639,8,95756,1244.83,20.8,29,31,0,25981,30566,0,0,Charged Off,
15114,750,4,47336,223.67,9.7,38.75251314,8,0,8918,23909,0,0,Charged Off,
2794,711,10,34424,711.43,7.7,34.47764898,27,0,4976,10281,0,0,Charged Off,
16191,706,7,66294,569.02,28,47,8,0,15320,17548,0,0,Charged Off,
16092,690,10,40291,1225.51,12.4,31,8,0,9006,12775,0,0,Charged Off,
6133,708,10,145152,3894.92,20.7,33.80984489,11,0,46335,57345,0,0,Charged Off,
2011,658,1,25133,238.76,18.8,49,5,0,4850,5431,0,0,Charged Off,
8542,729,10,75383,1425.99,22.8,34.63981654,16,0,24118,37508,0,0,Charged Off,
5537,726,4,24163,239.62,8.3,38.06121672,9,0,7982,15204,0,0,Charged Off,
15231,746,6,82247,1130.9,18,35.55545379,15,0,12083,31467,0,0,Charged Off,
30009,662,10,75023,1581.72,17.4,32.62407905,17,0,40290,76889,0,0,Charged Off,
2939,687,1,39362,984.06,7,35.59323764,7,0,7323,7159,0,0,Charged Off,
20110,731,10,53292,976.12,23.8,40,17,1,12388,26470,1,0,Charged Off,
11890,680,1,39632,601.09,14.7,35,8,0,11595,24258,0,0,Charged Off,
2446,750,5,21918,34.16,31.3,36.25599041,7,0,648,20889,0,0,Charged Off,
5505,719,7,19458,293.49,9.5,35.90725709,24,0,10471,12895,0,0,Charged Off,
22481,671,10,56387,1043.16,27.7,7,9,0,32865,47631,0,0,Charged Off,
13435,729,4,55172,859.76,18.5,34,14,1,16943,24414,1,0,Charged Off,
21992,645,1,61281,939.64,15.7,34,17,0,26799,44965,0,0,Charged Off,
20446,745,4,57249,663.14,22.7,36.92659678,11,0,20583,50572,0,0,Charged Off,
18757,673,2,52723,1072.03,13.3,44,8,0,5925,13876,0,0,Charged Off,
23942,741,10,74820,679.62,20.7,37,6,0,12894,18059,0,0,Charged Off,
7314,742,2,42668,263.12,9.7,38.17249031,6,0,4496,8030,0,0,Charged Off,
10849,678,10,60661,813.87,16.9,10,6,0,7331,10926,0,0,Charged Off,
19634,717,10,43902,632.92,12,37.37273343,9,0,13693,23608,0,0,Charged Off,
5855,716,2,58548,1141.69,12.7,50.40611121,11,2,5114,14206,2,0,Charged Off,
7687,746,9,18205,207.39,15.1,39.47064298,5,0,4284,23935,0,0,Charged Off,
4840,606,1,105882,662.65,14.9,43,4,0,989,1008,0,0,Charged Off,
4531,722,10,85587,1362.26,14.2,42.22009061,7,1,1847,6943,1,0,Charged Off,
15360,748,9,77824,862.55,14.4,36.7374243,10,0,8767,27833,0,0,Charged Off,
4095,711,1,87023,1457.64,18.5,32.40039347,16,0,13984,21816,0,0,Charged Off,
15610,692,10,48780,686.99,18.1,52,8,1,11613,23993,1,0,Charged Off,
23385,685,4,47064,776.56,11.4,35.01532324,10,0,10442,17260,0,0,Charged Off,
10868,704,1,56810,471.52,15.2,40.98758522,11,1,376,8184,1,0,Charged Off,
5046,705,10,30276,211.93,19.3,35.83252084,2,0,9574,10089,0,0,Charged Off,
9973,735,7,31116,484.89,20.4,37.47326038,8,0,10437,23193,0,0,Charged Off,
31946,689,2,94199,1054.24,15.1,75,10,0,19844,29886,0,0,Charged Off,
6023,728,5,52203,813.49,16,6,11,0,4196,8326,0,0,Charged Off,
25075,706,1,100300,1399.19,28,15,16,0,12436,51390,0,0,Charged Off,
9477,727,3,27642,562.04,6.5,38.22560792,13,0,8391,26639,0,0,Charged Off,
4978,649,1,27874,473.86,26.2,29.36243661,14,0,3441,5278,0,0,Charged Off,
9309,742,5,48995,963.57,22.2,36.4286583,12,0,6539,17625,0,0,Charged Off,
17138,683,7,64578,785.69,15.3,16,11,0,12633,17894,0,0,Charged Off,
10507,613,10,34209,567.3,19.4,28.72074351,10,0,7141,15066,0,0,Charged Off,
13309,742,9,48034,692.48,20.1,36.73736986,10,0,458,20833,0,0,Charged Off,
35259,681,8,131456,2686.08,28.5,32.48530837,11,0,65051,78093,0,0,Charged Off,
2968,737,10,31658,551.37,12,80,6,0,4129,8997,0,0,Charged Off,
19452,719,10,81904,1911.1,27.7,34.60481264,11,0,18599,20217,0,0,Charged Off,
3221,735,3,47578,523.35,12.3,39.80774024,8,1,2647,6838,0,0,Charged Off,
35133,653,1,131163,1036.18,24.9,26.56835265,12,0,18475,44733,0,0,Charged Off,
28126,716,1,105473,1977.61,19.8,33.62526337,17,0,21277,24206,0,0,Charged Off,
27916,738,5,79760,1030.23,16.7,35.90964352,24,0,43592,85811,0,0,Charged Off,
12273,696,7,28053,308.59,9.1,36.73820939,7,0,15650,28249,0,0,Charged Off,
14305,677,10,86853,1932.48,29.5,69,11,0,13342,35673,0,0,Charged Off,
27483,687,10,62601,1455.46,26,30.94005493,31,0,21305,67207,0,0,Charged Off,
1995,738,2,9576,19.95,10.1,39.26791317,5,0,309,6442,0,0,Charged Off,
7616,728,5,23815,220.29,23.5,43.85296948,8,1,9462,74501,1,0,Charged Off,
4886,681,4,42504,207.2,9.1,16,5,0,2307,5081,0,0,Charged Off,
6117,730,1,40780,230.41,12.7,36.44762731,11,0,9888,14166,0,0,Charged Off,
8599,708,10,122844,517.99,19.5,21,7,1,3215,3308,1,0,Charged Off,
14736,747,2,70295,808.39,12.5,37.40530372,9,0,11546,19341,0,0,Charged Off,
14996,720,10,63142,1499.63,22.5,34.37714353,21,0,18595,30685,0,0,Charged Off,
3917,721,1,44069,572.89,13.6,82,15,0,18993,30535,0,0,Charged Off,
1479,699,8,48033,840.57,13.9,35.4352985,5,0,15154,15293,0,0,Charged Off,
15427,608,1,177030,1342.47,16.7,21.26780503,7,0,8313,9007,0,0,Charged Off,
4746,701,0.5,16657,287.33,26.3,49,9,0,7891,16473,0,0,Charged Off,
11707,733,5,81040,1350.67,11.4,36.47685142,10,0,14059,27621,0,0,Charged Off,
20092,720,7,122360,1254.19,23.4,71.27985701,10,12,2281,6133,4,7,Charged Off,
22742,736,8,110814,2668.77,16.5,61,22,1,14879,20752,0,1,Charged Off,
18738,730,2,78161,820.69,27.4,17,8,0,9564,9749,0,0,Charged Off,
11905,726,2,53573,1258.97,19.2,34,13,0,15310,22648,0,0,Charged Off,
15493,718,7,34430,622.6,12.1,8,19,0,13773,25889,0,0,Charged Off,
8466,730,0.5,32379,329.19,16.6,37.01901286,6,0,1119,6016,0,0,Charged Off,
22541,720,10,84779,1052.68,33.3,54,6,0,10290,23765,0,0,Charged Off,
29493,679,2,122888,1925.23,20.2,15,16,0,25140,30289,0,0,Charged Off,
9820,726,2,40080,587.84,5.5,12,10,0,3903,13321,0,0,Charged Off,
7650,702,2,36238,619.06,17,30,9,0,6739,12411,0,0,Charged Off,
5026,640,8,55286,1621.72,14.5,32.26222764,7,0,27557,27149,0,0,Charged Off,
15095,696,3,47855,177.06,9.8,34.41785911,11,0,8156,20138,0,0,Charged Off,
14630,702,5,58518,1145.98,18.1,35.3908752,11,0,32816,33658,0,0,Charged Off,
19930,709,5,52815,512.3,13.8,36.29905911,6,0,16709,17138,0,0,Charged Off,
7416,712,10,64272,540.95,9.5,39.4536212,19,6,3984,8605,0,6,Charged Off,
12807,694,10,42689,419.77,12,22,9,0,13824,22887,0,0,Charged Off,
31581,682,8,118428,1312.58,13.5,65,9,2,10807,20124,0,0,Charged Off,
26969,593,10,79320,268.37,13.5,33,4,0,11041,22719,0,0,Charged Off,
14186,724,10,52438,1284.74,10.1,37.3168824,20,0,30353,43239,0,0,Charged Off,
1733,729,3,38020,517.7,20.2,25,4,0,430,990,0,0,Charged Off,
7115,738,1,34964,280.59,13,10,12,0,4331,10563,0,0,Charged Off,
2960,692,10,123313,1058.44,13.8,29.31830069,14,0,13844,18657,0,0,Charged Off,
13975,741,5,179676,1082.55,22.9,29.48950042,15,0,43234,69958,0,0,Charged Off,
18077,661,3,61764,1518.38,7.6,34.20661091,10,0,25133,30952,0,0,Charged Off,
6714,686,8,86139,1256.19,15.2,29.98021548,24,0,10560,15303,0,0,Charged Off,
3643,703,2,10759,222.35,43,33.18971569,3,0,6894,6943,0,0,Charged Off,
4544,701,2,49120,162.1,13.2,41.72609033,6,1,6104,10506,1,0,Charged Off,
32550,722,1,305160,526.4,18.5,47,7,2,23078,28282,0,2,Charged Off,
8198,727,5,19696,244.56,16.9,48,4,0,8885,11318,0,0,Charged Off,
11863,689,8,39544,547.02,12,35.08963235,7,0,6574,10177,0,0,Charged Off,
5438,717,0.5,19656,212.95,31.9,42.57226879,5,1,10726,12754,1,0,Charged Off,
